2026-07-15 07:07:13,086 | INFO | preprocessor | Running command: /usr/local/lib/python3.13/site-packages/static_ffmpeg/bin/linux/ffprobe -v error -select_streams v:0 -show_entries stream=width,height,r_frame_rate:format=duration -of json /home/user/raven/projects/raven_1784099185649/source.mp4
2026-07-15 07:07:13,130 | INFO | preprocessor | Running command: /usr/local/lib/python3.13/site-packages/static_ffmpeg/bin/linux/ffmpeg -y -i /home/user/raven/projects/raven_1784099185649/source.mp4 -vn -acodec pcm_s16le -ar 16000 -ac 1 /home/user/raven/projects/raven_1784099185649/audio.wav
2026-07-15 07:07:13,179 | INFO | preprocessor | Preprocessing completed successfully: {'video_path': '/home/user/raven/projects/raven_1784099185649/source.mp4', 'audio_path': '/home/user/raven/projects/raven_1784099185649/audio.wav', 'duration': 18.947483, 'resolution': '320x240', 'fps': 15.0, 'normalized_input_path': '/home/user/raven/projects/raven_1784099185649/normalized_input.json'}
2026-07-15 07:40:44,076 | INFO | preprocessor | Running command: /usr/local/lib/python3.13/site-packages/static_ffmpeg/bin/linux/ffprobe -v error -select_streams v:0 -show_entries stream=width,height,r_frame_rate:format=duration -of json /home/user/raven/projects/raven_1784101241292/source.mp4
2026-07-15 07:40:44,088 | INFO | preprocessor | Running command: /usr/local/lib/python3.13/site-packages/static_ffmpeg/bin/linux/ffmpeg -y -i /home/user/raven/projects/raven_1784101241292/source.mp4 -vn -acodec pcm_s16le -ar 16000 -ac 1 /home/user/raven/projects/raven_1784101241292/audio.wav
2026-07-15 07:40:44,151 | INFO | preprocessor | Preprocessing completed successfully: {'video_path': '/home/user/raven/projects/raven_1784101241292/source.mp4', 'audio_path': '/home/user/raven/projects/raven_1784101241292/audio.wav', 'duration': 19.021, 'resolution': '320x240', 'fps': 15.0, 'normalized_input_path': '/home/user/raven/projects/raven_1784101241292/normalized_input.json'}
2026-07-15 07:46:21,744 | INFO | preprocessor | Running command: /usr/local/lib/python3.13/site-packages/static_ffmpeg/bin/linux/ffprobe -v error -select_streams v:0 -show_entries stream=width,height,r_frame_rate:format=duration -of json /home/user/raven/projects/raven_1784101578479/source.mp4
2026-07-15 07:46:21,756 | INFO | preprocessor | Running command: /usr/local/lib/python3.13/site-packages/static_ffmpeg/bin/linux/ffmpeg -y -i /home/user/raven/projects/raven_1784101578479/source.mp4 -vn -acodec pcm_s16le -ar 16000 -ac 1 /home/user/raven/projects/raven_1784101578479/audio.wav
2026-07-15 07:46:21,818 | INFO | preprocessor | Preprocessing completed successfully: {'video_path': '/home/user/raven/projects/raven_1784101578479/source.mp4', 'audio_path': '/home/user/raven/projects/raven_1784101578479/audio.wav', 'duration': 19.021, 'resolution': '320x240', 'fps': 15.0, 'normalized_input_path': '/home/user/raven/projects/raven_1784101578479/normalized_input.json'}
2026-07-15 07:46:39,450 | INFO | preprocessor | Running command: /usr/local/lib/python3.13/site-packages/static_ffmpeg/bin/linux/ffprobe -v error -select_streams v:0 -show_entries stream=width,height,r_frame_rate:format=duration -of json /home/user/raven/projects/raven_1784101599433/source.mp4
2026-07-15 07:46:39,462 | INFO | preprocessor | Running command: /usr/local/lib/python3.13/site-packages/static_ffmpeg/bin/linux/ffmpeg -y -i /home/user/raven/projects/raven_1784101599433/source.mp4 -vn -acodec pcm_s16le -ar 16000 -ac 1 /home/user/raven/projects/raven_1784101599433/audio.wav
2026-07-15 07:46:39,524 | INFO | preprocessor | Preprocessing completed successfully: {'video_path': '/home/user/raven/projects/raven_1784101599433/source.mp4', 'audio_path': '/home/user/raven/projects/raven_1784101599433/audio.wav', 'duration': 19.021, 'resolution': '320x240', 'fps': 15.0, 'normalized_input_path': '/home/user/raven/projects/raven_1784101599433/normalized_input.json'}
2026-07-15 07:47:01,158 | INFO | preprocessor | Running command: /usr/local/lib/python3.13/site-packages/static_ffmpeg/bin/linux/ffprobe -v error -select_streams v:0 -show_entries stream=width,height,r_frame_rate:format=duration -of json /home/user/raven/projects/raven_1784101621142/source.mp4
