2026-07-15 07:00:22,322 | INFO | input_normalizer | Normalizing YouTube input for project_id=raven_1784098822
2026-07-15 07:00:23,101 | ERROR | input_normalizer | Downloader Agent failed: WARNING: [youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one
ERROR: [youtube] BaW_jenozKc: Video unavailable
2026-07-15 07:00:27,429 | INFO | input_normalizer | Normalizing YouTube input for project_id=raven_1784098827
2026-07-15 07:00:30,438 | WARNING | input_normalizer | ffprobe not found. Duration and resolution will use defaults.
2026-07-15 07:00:30,438 | INFO | input_normalizer | YouTube input normalized with status success: {'project_id': 'raven_1784098827', 'video_path': '/home/user/raven/projects/raven_1784098827/source.f395.mp4', 'duration': 19.0, 'resolution': '', 'source_type': 'youtube', 'youtube_captions_available': True, 'original_title': 'Me at the zoo'}
2026-07-15 07:01:24,941 | INFO | input_normalizer | Normalizing YouTube input for project_id=raven_1784098884
2026-07-15 07:01:29,088 | WARNING | input_normalizer | ffprobe not found. Duration and resolution will use defaults.
2026-07-15 07:01:29,088 | INFO | input_normalizer | YouTube input normalized with status success: {'project_id': 'raven_1784098884', 'video_path': '/home/user/raven/projects/raven_1784098884/source.mp4', 'duration': 19.0, 'resolution': '320x240', 'source_type': 'youtube', 'youtube_captions_available': True, 'original_title': 'Me at the zoo'}
2026-07-15 07:01:32,799 | INFO | input_normalizer | Normalizing upload input for project_id=raven_1784098892
2026-07-15 07:01:32,800 | WARNING | input_normalizer | ffprobe not found. Duration and resolution will use defaults.
2026-07-15 07:01:32,800 | INFO | input_normalizer | Upload input normalized successfully: {'project_id': 'raven_1784098892', 'video_path': '/home/user/raven/projects/raven_1784098892/source.mp4', 'duration': 0.0, 'resolution': '', 'source_type': 'upload', 'youtube_captions_available': False, 'original_title': 'source'}
2026-07-15 07:06:25,649 | INFO | input_normalizer | Normalizing YouTube input for project_id=raven_1784099185649
2026-07-15 07:06:31,044 | WARNING | input_normalizer | ffprobe not found. Duration and resolution will use defaults.
2026-07-15 07:06:31,044 | INFO | input_normalizer | YouTube input normalized with status success: {'project_id': 'raven_1784099185649', 'video_path': '/home/user/raven/projects/raven_1784099185649/source.mp4', 'duration': 19.0, 'resolution': '320x240', 'source_type': 'youtube', 'youtube_captions_available': True, 'original_title': 'Me at the zoo'}
2026-07-15 07:40:41,292 | INFO | input_normalizer | Normalizing YouTube input for project_id=raven_1784101241292
2026-07-15 07:40:44,073 | INFO | input_normalizer | YouTube input normalized with status success: {'project_id': 'raven_1784101241292', 'video_path': '/home/user/raven/projects/raven_1784101241292/source.mp4', 'duration': 19.0, 'resolution': '320x240', 'source_type': 'youtube', 'youtube_captions_available': True, 'original_title': 'Me at the zoo'}
2026-07-15 07:46:18,479 | INFO | input_normalizer | Normalizing YouTube input for project_id=raven_1784101578479
2026-07-15 07:46:21,741 | INFO | input_normalizer | YouTube input normalized with status success: {'project_id': 'raven_1784101578479', 'video_path': '/home/user/raven/projects/raven_1784101578479/source.mp4', 'duration': 19.0, 'resolution': '320x240', 'source_type': 'youtube', 'youtube_captions_available': True, 'original_title': 'Me at the zoo'}
2026-07-15 07:46:39,433 | INFO | input_normalizer | Normalizing upload input for project_id=raven_1784101599433
2026-07-15 07:46:39,446 | INFO | input_normalizer | Upload input normalized successfully: {'project_id': 'raven_1784101599433', 'video_path': '/home/user/raven/projects/raven_1784101599433/source.mp4', 'duration': 19.021, 'resolution': '320x240', 'source_type': 'upload', 'youtube_captions_available': False, 'original_title': 'source'}
2026-07-15 07:47:01,142 | INFO | input_normalizer | Normalizing upload input for project_id=raven_1784101621142
2026-07-15 07:47:01,154 | INFO | input_normalizer | Upload input normalized successfully: {'project_id': 'raven_1784101621142', 'video_path': '/home/user/raven/projects/raven_1784101621142/source.mp4', 'duration': 19.021, 'resolution': '320x240', 'source_type': 'upload', 'youtube_captions_available': False, 'original_title': 'source'}
2026-07-15 13:55:35,818 | INFO | input_normalizer | Normalizing YouTube input for project_id=raven_1784103935818
2026-07-15 13:57:13,844 | ERROR | input_normalizer | Downloader Agent failed: Download failed after retry. Last error: can't create new thread at interpreter shutdown
2026-07-15 13:57:48,596 | INFO | input_normalizer | Normalizing YouTube input for project_id=raven_1784104068596
2026-07-15 14:01:29,485 | INFO | input_normalizer | YouTube input normalized with status success: {'project_id': 'raven_1784104068596', 'video_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784104068596\\source.mp4', 'duration': 2158.0, 'resolution': '3840x2160', 'source_type': 'youtube', 'youtube_captions_available': True, 'original_title': 'How to Build a Global Company Today-The AI Playbook | Rohit Kapoor on Business Strategy & Pivots'}
2026-07-15 17:30:55,220 | INFO | input_normalizer | Normalizing upload input for project_id=raven_1784116855217
2026-07-15 17:31:22,183 | INFO | input_normalizer | Normalizing upload input for project_id=raven_1784116882183
2026-07-15 17:31:22,692 | INFO | input_normalizer | Upload input normalized successfully: {'project_id': 'raven_1784116882183', 'video_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784116882183\\source.mp4', 'duration': 18.947483, 'resolution': '320x240', 'source_type': 'upload', 'youtube_captions_available': False, 'original_title': 'source'}
2026-07-15 18:08:20,049 | INFO | input_normalizer | Normalizing YouTube input for project_id=raven_1784119100049
2026-07-15 18:08:42,068 | INFO | input_normalizer | YouTube input normalized with status success: {'project_id': 'raven_1784119100049', 'video_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784119100049\\source.mp4', 'duration': 227.0, 'resolution': '1920x1080', 'source_type': 'youtube', 'youtube_captions_available': True, 'original_title': 'Rain in Chia’s Garden – An Evening of Gentle Showers (雨のやさしい夕暮れ) | Lofi Piano & Cozy Anime Ambience'}
2026-07-15 23:27:19,071 | INFO | input_normalizer | Normalizing upload input for project_id=raven_1784138239071
2026-07-15 23:27:50,030 | INFO | input_normalizer | Normalizing upload input for project_id=raven_1784138270030
2026-07-15 23:27:50,571 | INFO | input_normalizer | Upload input normalized successfully: {'project_id': 'raven_1784138270030', 'video_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784138270030\\source.mp4', 'duration': 226.694, 'resolution': '1920x1080', 'source_type': 'upload', 'youtube_captions_available': False, 'original_title': 'source'}
2026-07-15 23:58:14,851 | INFO | input_normalizer | Normalizing upload input for project_id=raven_1784140094851
2026-07-15 23:58:15,203 | INFO | input_normalizer | Upload input normalized successfully: {'project_id': 'raven_1784140094851', 'video_path': 'D:\\ThinkNext Practice\\2026-latest-project\\Project Raven\\raven\\projects\\raven_1784140094851\\source.mp4', 'duration': 226.694, 'resolution': '1920x1080', 'source_type': 'upload', 'youtube_captions_available': False, 'original_title': 'source'}
